Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -117.2316    -117.2316       0.0000     0.0
0.2000        -117.2315    -117.2316       0.0001     0.0
0.4000        -116.3251    -116.5808       0.2557    61.8
0.6000        -115.4445    -116.3779       0.9334   225.6
0.8000        -114.9488    -115.8889       0.9402   227.3
1.0000        -114.7076    -116.3068       1.5992   386.6
1.2000        -114.5836    -116.2426       1.6590   401.1
1.4000        -114.5227    -116.1503       1.6277   393.5
1.6000        -114.4646    -116.0246       1.5600   377.1
1.8000        -114.4611    -115.7762       1.3150   317.9
2.0000        -114.4229    -116.0635       1.6407   396.7
2.2000        -114.4093    -116.0107       1.6014   387.2
2.4000        -114.4141    -115.9848       1.5707   379.7
2.6000        -114.4289    -116.0544       1.6254   393.0
2.8000        -114.4227    -115.8728       1.4501   350.6
3.0000        -114.4271    -116.0065       1.5794   381.8
3.2000        -114.3992    -115.7928       1.3936   336.9
3.4000        -114.3873    -116.1379       1.7506   423.2
3.6000        -114.4208    -116.1967       1.7759   429.3
3.8000        -114.4161    -116.2914       1.8753   453.4
4.0000        -114.4299    -116.0210       1.5911   384.7
4.2000        -114.4471    -116.2133       1.7662   427.0
4.4000        -114.4348    -116.0682       1.6334   394.9
4.6000        -114.4119    -115.7881       1.3762   332.7
4.8000        -114.4003    -116.3011       1.9007   459.5
5.0000        -114.4089    -116.2220       1.8131   438.3
5.2000        -114.4373    -116.2345       1.7972   434.5
5.4000        -114.4161    -115.7986       1.3825   334.2
5.6000        -114.4300    -116.2877       1.8577   449.1
5.8000        -114.4319    -116.3915       1.9596   473.8
6.0000        -114.4496    -116.1009       1.6512   399.2
6.2000        -114.4295    -116.2836       1.8541   448.2
6.4000        -114.4345    -115.8141       1.3797   333.6
6.6000        -114.4119    -116.2420       1.8301   442.4
6.8000        -114.4445    -116.1098       1.6653   402.6
7.0000        -114.4367    -115.9208       1.4841   358.8
7.2000        -114.4116    -115.9964       1.5848   383.1
7.4000        -114.4133    -115.9286       1.5152   366.3
7.6000        -114.4138    -116.0726       1.6588   401.0
7.8000        -114.3935    -116.0964       1.7029   411.7
8.0000        -114.4107    -116.2164       1.8058   436.6
8.2000        -114.4039    -116.0881       1.6843   407.2
8.4000        -114.4074    -116.3089       1.9015   459.7
8.6000        -114.4277    -116.3076       1.8799   454.5
8.8000        -114.4314    -115.8708       1.4394   348.0
9.0000        -114.4115    -116.0381       1.6266   393.3
9.2000        -114.4498    -116.0046       1.5548   375.9
9.4000        -114.4251    -116.1037       1.6785   405.8
9.6000        -114.4350    -115.9796       1.5446   373.4
9.8000        -114.4204    -115.9072       1.4868   359.5
10.0000       -114.4222    -115.9726       1.5505   374.8
10.2000       -114.4243    -116.0848       1.6605   401.4
10.4000       -114.3997    -116.3656       1.9659   475.3
10.6000       -114.4094    -115.9647       1.5553   376.0
10.8000       -114.4174    -116.0472       1.6298   394.0
11.0000       -114.4145    -115.7214       1.3068   315.9
11.2000       -114.4059    -116.2590       1.8531   448.0
11.4000       -114.4220    -116.0917       1.6698   403.7
11.6000       -114.4191    -115.9730       1.5538   375.7
11.8000       -114.4361    -116.1679       1.7318   418.7
12.0000       -114.4471    -115.8996       1.4524   351.1
12.2000       -114.4335    -115.9421       1.5087   364.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1831.743    -1831.743        0.000     0.0
0.2000        -1831.738    -1831.743        0.005     0.1
0.4000        -1815.569    -1820.291        4.722    73.1
0.6000        -1803.242    -1817.563       14.320   221.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1831.743    -1831.743        0.000     0.0
0.2000        -1831.737    -1831.743        0.005     0.1
0.4000        -1815.547    -1820.208        4.661    72.1
0.6000        -1803.271    -1817.320       14.049   217.4
0.8000        -1796.687    -1815.392       18.705   289.4
1.0000        -1792.869    -1812.900       20.031   309.9
1.2000        -1790.918    -1811.655       20.736   320.8
1.4000        -1789.799    -1811.574       21.775   336.9
1.6000        -1788.593    -1812.518       23.925   370.2
1.8000        -1788.423    -1812.504       24.080   372.6
2.0000        -1788.133    -1812.318       24.185   374.2
2.2000        -1787.945    -1813.346       25.401   393.0
2.4000        -1788.079    -1812.886       24.807   383.8
2.6000        -1787.652    -1813.982       26.330   407.4
2.8000        -1788.017    -1813.151       25.134   388.9
3.0000        -1787.639    -1813.607       25.968   401.8
3.2000        -1787.897    -1813.413       25.516   394.8
3.4000        -1787.704    -1812.749       25.045   387.5
3.6000        -1787.843    -1813.965       26.122   404.2
3.8000        -1787.813    -1813.926       26.113   404.0
4.0000        -1787.863    -1814.455       26.591   411.4
4.2000        -1787.648    -1813.717       26.068   403.3
4.4000        -1787.908    -1813.406       25.498   394.5
4.6000        -1787.809    -1813.134       25.325   391.8
4.8000        -1787.847    -1813.631       25.784   398.9
5.0000        -1787.700    -1813.792       26.092   403.7
5.2000        -1787.773    -1813.597       25.824   399.6
5.4000        -1787.824    -1813.858       26.033   402.8
5.6000        -1787.787    -1813.146       25.358   392.4
5.8000        -1787.809    -1814.059       26.249   406.1
