Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1787.765    -1813.638       25.873   400.3
0.2000        -1788.550    -1813.421       24.871   384.8
0.4000        -1789.230    -1814.381       25.151   389.2
0.6000        -1789.802    -1815.314       25.512   394.7
0.8000        -1790.297    -1815.238       24.941   385.9
1.0000        -1790.729    -1815.085       24.356   376.9
1.2000        -1791.090    -1813.965       22.874   353.9
1.4000        -1791.416    -1815.282       23.866   369.3
1.6000        -1791.689    -1815.612       23.922   370.1
1.8000        -1791.922    -1816.114       24.193   374.3
2.0000        -1792.119    -1816.530       24.411   377.7
2.2000        -1792.295    -1815.826       23.531   364.1
2.4000        -1792.440    -1816.572       24.133   373.4
2.6000        -1792.563    -1816.483       23.920   370.1
2.8000        -1792.664    -1816.061       23.397   362.0
3.0000        -1792.747    -1816.017       23.270   360.0
3.2000        -1792.820    -1816.188       23.368   361.6
3.4000        -1792.884    -1816.445       23.562   364.6
3.6000        -1792.931    -1816.150       23.219   359.3
3.8000        -1792.970    -1816.251       23.281   360.2
4.0000        -1793.000    -1815.253       22.252   344.3
4.2000        -1793.022    -1815.607       22.586   349.5
4.4000        -1793.040    -1816.416       23.376   361.7
4.6000        -1793.050    -1815.951       22.901   354.3
4.8000        -1793.054    -1815.846       22.792   352.7
5.0000        -1793.057    -1816.077       23.019   356.2
5.2000        -1793.056    -1815.803       22.747   352.0
5.4000        -1793.052    -1815.772       22.720   351.5
5.6000        -1793.046    -1816.127       23.080   357.1
5.8000        -1793.037    -1815.522       22.485   347.9
6.0000        -1793.024    -1816.111       23.087   357.2
6.2000        -1793.010    -1815.873       22.863   353.7
6.4000        -1792.997    -1816.271       23.274   360.1
6.6000        -1792.981    -1815.287       22.306   345.1
6.8000        -1792.963    -1816.084       23.120   357.7
7.0000        -1792.948    -1816.285       23.337   361.1
7.2000        -1792.929    -1816.318       23.389   361.9
7.4000        -1792.909    -1815.487       22.578   349.3
7.6000        -1792.887    -1815.511       22.624   350.1
7.8000        -1792.868    -1816.092       23.224   359.3
8.0000        -1792.848    -1816.444       23.597   365.1
8.2000        -1792.825    -1814.338       21.513   332.9
8.4000        -1792.805    -1815.786       22.981   355.6
8.6000        -1792.783    -1815.198       22.415   346.8
8.8000        -1792.762    -1815.486       22.723   351.6
9.0000        -1792.741    -1816.036       23.295   360.4
9.2000        -1792.719    -1815.527       22.808   352.9
9.4000        -1792.696    -1814.777       22.082   341.7
9.6000        -1792.675    -1816.255       23.579   364.8
9.8000        -1792.652    -1814.986       22.334   345.6
10.0000       -1792.631    -1816.368       23.737   367.3
10.2000       -1792.609    -1815.854       23.245   359.7
10.4000       -1792.587    -1814.873       22.286   344.8
10.6000       -1792.565    -1815.255       22.689   351.1
10.8000       -1792.542    -1814.368       21.825   337.7
11.0000       -1792.520    -1815.654       23.134   357.9
11.2000       -1792.499    -1815.434       22.936   354.9
11.4000       -1792.477    -1815.166       22.689   351.1
11.6000       -1792.455    -1814.830       22.376   346.2
11.8000       -1792.435    -1815.853       23.419   362.3
12.0000       -1792.411    -1814.887       22.476   347.8
12.2000       -1792.390    -1814.768       22.378   346.2
12.4000       -1792.369    -1814.923       22.554   349.0
12.6000       -1792.346    -1815.051       22.705   351.3
12.8000       -1792.326    -1815.273       22.947   355.1
13.0000       -1792.304    -1815.459       23.154   358.3
13.2000       -1792.283    -1815.569       23.286   360.3
13.4000       -1792.260    -1814.384       22.124   342.3
13.6000       -1792.238    -1814.999       22.761   352.2
13.8000       -1792.217    -1814.841       22.624   350.0
14.0000       -1792.195    -1814.785       22.589   349.5
14.2000       -1792.176    -1816.218       24.042   372.0
14.4000       -1792.153    -1814.902       22.748   352.0
14.6000       -1792.132    -1814.903       22.771   352.3
14.8000       -1792.112    -1814.946       22.835   353.3
15.0000       -1792.090    -1815.194       23.104   357.5
15.2000       -1792.069    -1815.418       23.349   361.3
15.4000       -1792.047    -1815.890       23.842   368.9
15.6000       -1792.025    -1815.139       23.114   357.6
15.8000       -1792.004    -1814.732       22.729   351.7
16.0000       -1791.984    -1815.155       23.170   358.5
16.2000       -1791.964    -1816.631       24.667   381.7
16.4000       -1791.943    -1815.753       23.810   368.4
16.6000       -1791.920    -1814.042       22.122   342.3
16.8000       -1791.900    -1815.359       23.459   363.0
17.0000       -1791.879    -1814.858       22.978   355.5
17.2000       -1791.859    -1815.195       23.336   361.1
17.4000       -1791.837    -1815.124       23.288   360.3
17.6000       -1791.817    -1815.683       23.866   369.3
17.8000       -1791.796    -1815.575       23.779   367.9
18.0000       -1791.774    -1815.977       24.203   374.5
18.2000       -1791.753    -1815.797       24.044   372.0
18.4000       -1791.732    -1814.741       23.009   356.0
18.6000       -1791.712    -1814.994       23.282   360.2
18.8000       -1791.691    -1815.515       23.825   368.6
19.0000       -1791.669    -1814.402       22.733   351.7
19.2000       -1791.649    -1815.840       24.191   374.3
19.4000       -1791.628    -1815.572       23.944   370.5
19.6000       -1791.607    -1814.638       23.030   356.3
19.8000       -1791.586    -1815.346       23.760   367.6
20.0000       -1791.566    -1814.746       23.180   358.7
20.2000       -1791.546    -1815.289       23.743   367.4
20.4000       -1791.524    -1814.571       23.046   356.6
20.6000       -1791.503    -1814.635       23.132   357.9
20.8000       -1791.483    -1815.305       23.822   368.6
21.0000       -1791.463    -1814.964       23.501   363.6
21.2000       -1791.441    -1814.623       23.182   358.7
21.4000       -1791.421    -1815.103       23.682   366.4
21.6000       -1791.400    -1814.826       23.425   362.5
21.8000       -1791.379    -1815.000       23.622   365.5
22.0000       -1791.360    -1816.401       25.041   387.5
22.2000       -1791.337    -1814.304       22.967   355.4
22.4000       -1791.316    -1813.455       22.139   342.5
22.6000       -1791.297    -1814.843       23.546   364.3
22.8000       -1791.276    -1814.869       23.593   365.1
23.0000       -1791.255    -1814.505       23.249   359.7
23.2000       -1791.234    -1814.494       23.260   359.9
23.4000       -1791.213    -1814.801       23.588   365.0
23.6000       -1791.193    -1815.047       23.854   369.1
23.8000       -1791.172    -1815.075       23.903   369.8
24.0000       -1791.153    -1815.480       24.327   376.4
24.2000       -1791.132    -1815.681       24.549   379.8
24.4000       -1791.110    -1815.076       23.967   370.8
24.6000       -1791.089    -1815.073       23.984   371.1
24.8000       -1791.068    -1814.090       23.022   356.2
25.0000       -1791.046    -1814.131       23.085   357.2
25.2000       -1791.027    -1815.345       24.319   376.3
25.4000       -1791.007    -1814.928       23.921   370.1
25.6000       -1790.984    -1813.425       22.441   347.2
25.8000       -1790.965    -1814.768       23.803   368.3
26.0000       -1790.944    -1814.572       23.628   365.6
26.2000       -1790.922    -1814.486       23.563   364.6
26.4000       -1790.902    -1814.026       23.123   357.8
26.6000       -1790.881    -1814.572       23.691   366.6
26.8000       -1790.862    -1815.887       25.025   387.2
27.0000       -1790.840    -1814.663       23.823   368.6
27.2000       -1790.819    -1814.913       24.094   372.8
27.4000       -1790.798    -1813.655       22.856   353.6
27.6000       -1790.778    -1814.208       23.431   362.5
27.8000       -1790.758    -1814.975       24.217   374.7
28.0000       -1790.736    -1813.861       23.126   357.8
28.2000       -1790.716    -1814.407       23.691   366.6
28.4000       -1790.695    -1814.439       23.744   367.4
28.6000       -1790.674    -1814.864       24.190   374.3
28.8000       -1790.654    -1814.724       24.070   372.4
29.0000       -1790.632    -1814.553       23.921   370.1
29.2000       -1790.611    -1814.559       23.948   370.5
29.4000       -1790.591    -1814.889       24.297   375.9
29.6000       -1790.570    -1814.287       23.716   367.0
29.8000       -1790.550    -1814.138       23.588   365.0
30.0000       -1790.530    -1815.154       24.624   381.0
30.2000       -1790.509    -1815.076       24.567   380.1
30.4000       -1790.488    -1814.303       23.815   368.5
30.6000       -1790.465    -1813.722       23.257   359.9
30.8000       -1790.448    -1815.542       25.095   388.3
31.0000       -1790.427    -1814.226       23.799   368.2
31.2000       -1790.405    -1814.741       24.336   376.5
31.4000       -1790.385    -1814.756       24.371   377.1
31.6000       -1790.364    -1814.625       24.262   375.4
31.8000       -1790.344    -1814.755       24.412   377.7
32.0000       -1790.324    -1814.175       23.851   369.0
32.2000       -1790.302    -1814.188       23.885   369.6
32.4000       -1790.283    -1814.059       23.777   367.9
