Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1787.765    -1813.638       25.873   400.3
0.2000        -1788.568    -1813.429       24.861   384.7
0.4000        -1789.266    -1814.394       25.128   388.8
0.6000        -1789.855    -1815.330       25.475   394.2
0.8000        -1790.367    -1815.272       24.904   385.3
1.0000        -1790.817    -1815.109       24.292   375.9
1.2000        -1791.196    -1814.043       22.847   353.5
1.4000        -1791.539    -1815.337       23.798   368.2
1.6000        -1791.830    -1815.642       23.813   368.5
1.8000        -1792.079    -1816.153       24.074   372.5
2.0000        -1792.293    -1816.654       24.360   376.9
2.2000        -1792.487    -1815.887       23.400   362.1
2.4000        -1792.649    -1816.647       23.998   371.3
2.6000        -1792.790    -1816.631       23.841   368.9
2.8000        -1792.908    -1816.146       23.238   359.6
3.0000        -1793.009    -1816.008       22.999   355.9
3.2000        -1793.099    -1816.135       23.036   356.4
3.4000        -1793.181    -1816.500       23.320   360.8
3.6000        -1793.246    -1816.011       22.766   352.2
3.8000        -1793.302    -1815.914       22.612   349.9
4.0000        -1793.354    -1815.850       22.496   348.1
4.2000        -1793.398    -1816.867       23.468   363.1
4.4000        -1793.433    -1816.931       23.498   363.6
4.6000        -1793.458    -1816.021       22.562   349.1
4.8000        -1793.482    -1815.784       22.301   345.1
5.0000        -1793.503    -1816.049       22.546   348.8
5.2000        -1793.520    -1817.050       23.530   364.1
5.4000        -1793.532    -1815.810       22.278   344.7
5.6000        -1793.544    -1816.604       23.060   356.8
5.8000        -1793.553    -1815.558       22.005   340.5
6.0000        -1793.561    -1816.047       22.485   347.9
6.2000        -1793.566    -1816.154       22.588   349.5
6.4000        -1793.571    -1817.661       24.090   372.7
6.6000        -1793.571    -1815.830       22.259   344.4
6.8000        -1793.573    -1815.719       22.146   342.7
7.0000        -1793.576    -1816.156       22.580   349.4
7.2000        -1793.575    -1816.034       22.459   347.5
7.4000        -1793.574    -1815.602       22.027   340.8
7.6000        -1793.575    -1816.271       22.696   351.2
7.8000        -1793.573    -1815.999       22.426   347.0
8.0000        -1793.570    -1815.542       21.972   340.0
8.2000        -1793.567    -1816.211       22.644   350.4
8.4000        -1793.565    -1815.776       22.210   343.7
8.6000        -1793.561    -1815.360       21.799   337.3
8.8000        -1793.558    -1814.999       21.441   331.8
9.0000        -1793.556    -1816.024       22.468   347.6
9.2000        -1793.553    -1815.408       21.856   338.2
9.4000        -1793.551    -1815.880       22.330   345.5
9.6000        -1793.547    -1814.831       21.285   329.3
9.8000        -1793.545    -1816.068       22.523   348.5
10.0000       -1793.541    -1816.737       23.195   358.9
10.2000       -1793.538    -1816.811       23.273   360.1
10.4000       -1793.535    -1816.509       22.975   355.5
10.6000       -1793.531    -1815.637       22.106   342.0
10.8000       -1793.528    -1815.232       21.704   335.8
11.0000       -1793.526    -1816.024       22.498   348.1
11.2000       -1793.521    -1816.039       22.518   348.4
11.4000       -1793.519    -1816.716       23.198   358.9
11.6000       -1793.517    -1815.962       22.445   347.3
11.8000       -1793.513    -1815.578       22.065   341.4
12.0000       -1793.510    -1814.979       21.469   332.2
12.2000       -1793.508    -1815.941       22.433   347.1
12.4000       -1793.506    -1816.310       22.804   352.8
12.6000       -1793.502    -1815.455       21.953   339.7
12.8000       -1793.501    -1816.080       22.579   349.4
13.0000       -1793.498    -1815.917       22.418   346.9
13.2000       -1793.496    -1815.397       21.901   338.9
13.4000       -1793.491    -1815.036       21.545   333.4
13.6000       -1793.489    -1815.388       21.899   338.8
13.8000       -1793.487    -1815.835       22.348   345.8
14.0000       -1793.484    -1815.919       22.435   347.1
14.2000       -1793.480    -1816.204       22.723   351.6
14.4000       -1793.480    -1815.284       21.805   337.4
14.6000       -1793.477    -1815.167       21.690   335.6
14.8000       -1793.474    -1815.015       21.541   333.3
15.0000       -1793.473    -1816.534       23.062   356.8
15.2000       -1793.470    -1815.740       22.270   344.6
15.4000       -1793.466    -1815.105       21.639   334.8
15.6000       -1793.465    -1815.687       22.222   343.8
15.8000       -1793.462    -1815.134       21.672   335.3
16.0000       -1793.460    -1815.592       22.133   342.5
16.2000       -1793.457    -1815.357       21.900   338.8
16.4000       -1793.455    -1815.309       21.854   338.1
16.6000       -1793.454    -1815.502       22.048   341.1
16.8000       -1793.453    -1816.485       23.032   356.4
17.0000       -1793.449    -1815.297       21.847   338.0
17.2000       -1793.446    -1814.946       21.500   332.7
17.4000       -1793.446    -1816.327       22.881   354.0
17.6000       -1793.443    -1815.009       21.566   333.7
17.8000       -1793.441    -1816.303       22.862   353.7
18.0000       -1793.440    -1815.936       22.497   348.1
18.2000       -1793.437    -1815.720       22.283   344.8
18.4000       -1793.436    -1817.022       23.586   364.9
18.6000       -1793.432    -1815.899       22.467   347.6
18.8000       -1793.430    -1815.896       22.466   347.6
19.0000       -1793.428    -1815.747       22.319   345.3
19.2000       -1793.425    -1815.547       22.122   342.3
19.4000       -1793.424    -1814.519       21.095   326.4
